traj #,traj frame,x,y,z,intensity,area,frame1
3934,0,99.0,28.0,26.0,563669.9,181.0,99.0
3935,0,94.0,104.0,19.0,563669.4,181.0,94.0
3936,0,19.0,71.0,5.0,563653.1,181.0,19.0
3937,0,63.0,14.0,20.0,563652.44,181.0,63.0
3938,0,107.0,87.0,10.0,563646.5,181.0,107.0
3939,0,88.0,107.0,28.0,563590.56,181.0,88.0
3940,0,50.0,109.0,7.0,563590.25,181.0,50.0
3941,0,37.0,105.0,15.0,563575.6,181.0,37.0
3942,0,33.0,27.0,32.0,563561.4,181.0,33.0
3943,0,112.0,72.0,29.0,563544.5,181.0,112.0
3944,0,26.0,95.0,25.0,563514.44,181.0,26.0
3945,0,14.0,67.0,21.0,563486.2,181.0,14.0
3946,0,29.0,98.0,11.0,563421.7,181.0,29.0
3947,0,17.0,52.0,28.0,563417.3,181.0,17.0
3948,0,18.0,77.0,27.0,563369.0,181.0,18.0
3949,0,113.0,68.0,14.0,563364.0,181.0,113.0
3950,0,104.0,92.0,18.0,563363.56,181.0,104.0
3951,0,112.0,67.0,26.0,563358.94,181.0,112.0
3952,0,111.0,71.0,9.0,563358.2,181.0,111.0
3953,0,20.0,82.0,35.0,563356.9,181.0,20.0
3954,0,22.0,91.0,22.0,563325.0,181.0,22.0
3955,0,54.0,18.0,33.0,563320.75,181.0,54.0
3956,0,36.0,26.0,5.0,563302.06,181.0,36.0
3957,0,18.0,43.0,24.0,563282.5,181.0,18.0
3958,0,110.0,47.0,36.0,563281.4,181.0,110.0
3959,0,18.0,79.0,10.0,563259.5,181.0,18.0
3960,0,17.0,64.0,35.0,563231.1,181.0,17.0
3961,0,55.0,112.0,14.0,563207.06,181.0,55.0
3962,0,102.0,95.0,33.0,563193.56,181.0,102.0
3963,0,107.0,85.0,34.0,563179.2,181.0,107.0
3964,0,31.0,25.0,17.0,563164.06,181.0,31.0
3965,0,108.0,40.0,16.0,563155.56,181.0,108.0
3966,0,90.0,22.0,14.0,563146.25,181.0,90.0
3967,0,101.0,94.0,36.0,563142.75,181.0,101.0
3968,0,90.0,105.0,7.0,563107.75,181.0,90.0
3969,0,99.0,26.0,18.0,563106.44,181.0,99.0
3970,0,66.0,113.0,12.0,563104.94,181.0,66.0
3971,0,16.0,63.0,7.0,563104.0,181.0,16.0
3972,0,30.0,29.0,7.0,563090.1,181.0,30.0
3973,0,19.0,43.0,30.0,563078.5,181.0,19.0
3974,0,23.0,42.0,37.0,563064.9,181.0,23.0
3975,0,112.0,58.0,36.0,563062.9,181.0,112.0
3976,0,112.0,54.0,33.0,563041.4,181.0,112.0
3977,0,93.0,103.0,33.0,563040.06,181.0,93.0
3978,0,106.0,38.0,10.0,563027.1,181.0,106.0
3979,0,93.0,100.0,35.0,563021.0,181.0,93.0
3980,0,24.0,36.0,31.0,562999.4,181.0,24.0
3981,0,62.0,113.0,31.0,562991.06,181.0,62.0
3982,0,83.0,17.0,24.0,562988.5,181.0,83.0
3983,0,18.0,77.0,34.0,562971.0,181.0,18.0
3984,0,114.0,73.0,25.0,562967.6,181.0,114.0
3985,0,24.0,34.0,22.0,562940.4,181.0,24.0
3986,0,47.0,20.0,37.0,562933.6,181.0,47.0
3987,0,18.0,42.0,15.0,562916.4,181.0,18.0
3988,0,40.0,21.0,22.0,562903.9,181.0,40.0
3989,0,30.0,99.0,21.0,562889.06,181.0,30.0
3990,0,33.0,24.0,28.0,562884.4,181.0,33.0
3991,0,108.0,81.0,36.0,562873.4,181.0,108.0
3992,0,61.0,16.0,37.0,562817.4,181.0,61.0
3993,0,44.0,19.0,23.0,562772.5,181.0,44.0
3994,0,33.0,24.0,21.0,562752.9,181.0,33.0
3995,0,110.0,84.0,25.0,562747.44,181.0,110.0
3996,0,51.0,108.0,4.0,562718.25,181.0,51.0
3997,0,59.0,15.0,5.0,562714.6,181.0,59.0
3998,0,38.0,107.0,9.0,562703.6,181.0,38.0
3999,0,80.0,16.0,15.0,562692.3,181.0,80.0
4000,0,78.0,111.0,26.0,562676.4,181.0,78.0
4001,0,112.0,72.0,18.0,562665.4,181.0,112.0
4002,0,109.0,44.0,10.0,562652.0,181.0,109.0
4003,0,43.0,20.0,35.0,562650.3,181.0,43.0
4004,0,43.0,106.0,4.0,562630.25,181.0,43.0
4005,0,109.0,84.0,31.0,562625.94,181.0,109.0
4006,0,47.0,107.0,37.0,562610.0,181.0,47.0
4007,0,36.0,23.0,19.0,562552.94,181.0,36.0
4008,0,113.0,78.0,22.0,562535.6,181.0,113.0
4009,0,57.0,15.0,28.0,562509.7,181.0,57.0
4010,0,86.0,20.0,26.0,562509.6,181.0,86.0
4011,0,47.0,18.0,32.0,562493.9,181.0,47.0
4012,0,96.0,102.0,17.0,562485.1,181.0,96.0
4013,0,110.0,81.0,28.0,562484.75,181.0,110.0
4014,0,67.0,13.0,15.0,562468.25,181.0,67.0
4015,0,32.0,98.0,37.0,562464.44,181.0,32.0
4016,0,48.0,111.0,18.0,562443.5,181.0,48.0
4017,0,93.0,105.0,29.0,562405.06,181.0,93.0
4018,0,40.0,107.0,13.0,562387.7,181.0,40.0
4019,0,104.0,95.0,24.0,562357.0,181.0,104.0
4020,0,104.0,35.0,15.0,562333.7,181.0,104.0
4021,0,13.0,61.0,25.0,562323.94,181.0,13.0
4022,0,16.0,49.0,11.0,562315.1,181.0,16.0
4023,0,89.0,107.0,25.0,562309.75,181.0,89.0
4024,0,108.0,84.0,7.0,562289.56,181.0,108.0
4025,0,64.0,15.0,31.0,562272.6,181.0,64.0
4026,0,108.0,43.0,7.0,562270.44,181.0,108.0
4027,0,72.0,113.0,29.0,562269.2,181.0,72.0
4028,0,16.0,56.0,29.0,562258.6,181.0,16.0
4029,0,89.0,21.0,18.0,562254.7,181.0,89.0
4030,0,92.0,21.0,30.0,562183.06,181.0,92.0
4031,0,63.0,113.0,28.0,562159.75,181.0,63.0
4032,0,35.0,27.0,36.0,562139.56,181.0,35.0
4033,0,97.0,29.0,33.0,562136.94,181.0,97.0
4034,0,25.0,33.0,9.0,562124.9,181.0,25.0
4035,0,93.0,22.0,18.0,562114.2,181.0,93.0
4036,0,21.0,86.0,36.0,562100.0,181.0,21.0
4037,0,56.0,112.0,11.0,562097.7,181.0,56.0
4038,0,26.0,94.0,31.0,562062.06,181.0,26.0
4039,0,111.0,51.0,6.0,562059.7,181.0,111.0
4040,0,66.0,17.0,37.0,562057.44,181.0,66.0
4041,0,63.0,111.0,10.0,562034.5,181.0,63.0
4042,0,27.0,95.0,6.0,562009.0,181.0,27.0
4043,0,36.0,107.0,19.0,561989.0,181.0,36.0
4044,0,69.0,15.0,35.0,561980.75,181.0,69.0
4045,0,79.0,15.0,21.0,561918.06,181.0,79.0
4046,0,27.0,31.0,13.0,561889.0,181.0,27.0
4047,0,15.0,68.0,8.0,561884.25,181.0,15.0
4048,0,97.0,99.0,8.0,561858.44,181.0,97.0
4049,0,80.0,111.0,21.0,561841.06,181.0,80.0
4050,0,75.0,114.0,21.0,561829.5,181.0,75.0
4051,0,63.0,16.0,4.0,561825.1,181.0,63.0
4052,0,37.0,22.0,28.0,561825.0,181.0,37.0
4053,0,76.0,113.0,24.0,561821.2,181.0,76.0
4054,0,114.0,63.0,12.0,561821.1,181.0,114.0
4055,0,97.0,100.0,34.0,561819.44,181.0,97.0
4056,0,106.0,90.0,22.0,561808.06,181.0,106.0
4057,0,55.0,14.0,24.0,561758.1,181.0,55.0
4058,0,75.0,112.0,12.0,561745.2,181.0,75.0
4059,0,79.0,111.0,15.0,561732.06,181.0,79.0
4060,0,115.0,73.0,16.0,561693.6,181.0,115.0
4061,0,87.0,107.0,9.0,561692.56,181.0,87.0
4062,0,90.0,19.0,25.0,561683.9,181.0,90.0
4063,0,50.0,15.0,18.0,561669.06,181.0,50.0
4064,0,42.0,18.0,12.0,561667.44,181.0,42.0
4065,0,105.0,36.0,20.0,561642.1,181.0,105.0
4066,0,71.0,15.0,30.0,561633.56,181.0,71.0
4067,0,29.0,27.0,12.0,561623.2,181.0,29.0
4068,0,109.0,88.0,18.0,561609.25,181.0,109.0
4069,0,14.0,72.0,20.0,561597.5,181.0,14.0
4070,0,32.0,25.0,24.0,561594.1,181.0,32.0
4071,0,23.0,91.0,12.0,561568.9,181.0,23.0
4072,0,113.0,79.0,15.0,561558.06,181.0,113.0
4073,0,21.0,36.0,16.0,561549.0,181.0,21.0
4074,0,80.0,14.0,25.0,561525.06,181.0,80.0
4075,0,23.0,37.0,10.0,561523.0,181.0,23.0
4076,0,114.0,59.0,13.0,561521.8,181.0,114.0
